subject,session,channel,condition,measure,value,nave
sub-005,ses-02,FCz,correct,mean_amplitude,-4.41,13
sub-006,ses-02,FCz,correct,mean_amplitude,1.564,30
sub-007,ses-02,FCz,correct,mean_amplitude,-2.735,20
sub-008,ses-02,FCz,correct,mean_amplitude,0.489,30
sub-001,ses-01,Cz,correct,mean_amplitude,-3.28,12
sub-002,ses-01,Cz,correct,mean_amplitude,-2.024,24
sub-003,ses-01,Cz,correct,mean_amplitude,-7.307,36
sub-004,ses-01,Cz,correct,mean_amplitude,-1.905,36
sub-005,ses-01,Cz,correct,mean_amplitude,-4.817,16
sub-006,ses-01,Cz,correct,mean_amplitude,-1.839,35
sub-007,ses-01,Cz,correct,mean_amplitude,-1.612,21
sub-008,ses-01,Cz,correct,mean_amplitude,-1.677,40
sub-001,ses-02,Cz,correct,mean_amplitude,0.041,38
sub-002,ses-02,Cz,correct,mean_amplitude,-0.903,16
sub-003,ses-02,Cz,correct,mean_amplitude,0.241,24
sub-004,ses-02,Cz,correct,mean_amplitude,-1.466,36
sub-005,ses-02,Cz,correct,mean_amplitude,1.92,24
sub-006,ses-02,Cz,correct,mean_amplitude,-0.637,15
sub-007,ses-02,Cz,correct,mean_amplitude,-0.432,34
sub-008,ses-02,Cz,correct,mean_amplitude,-2.689,38
sub-001,ses-01,Pz,correct,mean_amplitude,0.495,20
sub-002,ses-01,Pz,correct,mean_amplitude,-6.227,29
sub-004,ses-01,Pz,correct,mean_amplitude,-1.072,26
sub-005,ses-01,Pz,correct,mean_amplitude,1.027,13
sub-006,ses-01,Pz,correct,mean_amplitude,-3.131,13
sub-007,ses-01,Pz,correct,mean_amplitude,6.162,28
sub-008,ses-01,Pz,correct,mean_amplitude,-2.42,30
sub-001,ses-02,Pz,correct,mean_amplitude,-1.227,34
sub-002,ses-02,Pz,correct,mean_amplitude,-2.566,39
sub-004,ses-02,Pz,correct,mean_amplitude,-4.187,28
sub-005,ses-02,Pz,correct,mean_amplitude,0.671,40
sub-006,ses-02,Pz,correct,mean_amplitude,1.702,12
sub-007,ses-02,Pz,correct,mean_amplitude,1.97,36
sub-008,ses-02,Pz,correct,mean_amplitude,0.151,13
